class	count
Gammaproteobacteria	3875
Actinomycetes	2169
Betaproteobacteria	973
Bacilli	935
Alphaproteobacteria	730
Negativicutes	79
Deinococci	38
Bacteroidia	37
Flavobacteriia	34
Thermoprotei	28
Desulfuromonadia	28
Myxococcia	24
Anaerolineae	23
Ignavibacteria	20
Deltaproteobacteria	16
Clostridia	15
Thermoleophilia	13
Hydrogenophilia	13
Desulfobacteria	13
Terriglobia	12
Planctomycetia	11
Bdellovibrionia	9
Acidithiobacillia	9
Dehalococcoidia	7
Desulfobulbia	6
Rubrobacteria	6
Acidimicrobiia	6
Deferribacteres	5
Thermomicrobia	5
Sphingobacteriia	5
Chitinophagia	5
Coriobacteriia	4
Holophagae	4
Desulfovibrionia	4
Verrucomicrobiia	4
Desulfurellia	3
Cytophagia	3
Blastocatellia	3
Methanomicrobia	3
Saprospiria	3
Candidatus Methylomirabilia	3
Phycisphaerae	2
Thermoplasmata	2
Candidatus Poseidoniia	2
Thermodesulfobiia	2
Epsilonproteobacteria	2
Nitrospiria	2
Thermoanaerobaculia	1
Chthonomonadia	1
Chrysiogenia	1
Archaeoglobi	1
Cyanophyceae	1
Eurotiomycetes	1
Candidatus Sumerlaeia	1
Tepidiformia	1
Candidatus Muproteobacteria	1
Calditrichia	1
Gemmatimonadia	1
Caldilineae	1
Vicinamibacteria	1
Candidatus Brocadiia	1
Magnetococcia	1
Candidatus Abyssobacteria	1
Aquificia	1
Desulfomonilia	1
