family	count
Enterobacteriaceae	2577
Streptomycetaceae	477
Bacillaceae	419
Mycobacteriaceae	312
Pseudomonadaceae	303
Burkholderiaceae	292
Comamonadaceae	179
Nocardiaceae	164
Staphylococcaceae	156
Micrococcaceae	152
Paenibacillaceae	114
Halomonadaceae	109
Paracoccaceae	109
Pseudonocardiaceae	101
Oxalobacteraceae	100
Alcaligenaceae	98
Streptosporangiaceae	91
Lactobacillaceae	89
Microbacteriaceae	89
Micromonosporaceae	83
Yersiniaceae	81
Actinomycetaceae	79
Corynebacteriaceae	75
Marinobacteraceae	70
Lysobacteraceae	67
Nocardioidaceae	66
Anoxybacillaceae	62
Erwiniaceae	58
Propionibacteriaceae	56
Roseobacteraceae	56
Neisseriaceae	55
Morganellaceae	55
Cellulomonadaceae	54
Moraxellaceae	52
Thermomonosporaceae	49
Intrasporangiaceae	47
Brucellaceae	46
Pectobacteriaceae	44
Phyllobacteriaceae	39
Gordoniaceae	39
Selenomonadaceae	39
Thermaceae	36
Caryophanaceae	36
Veillonellaceae	36
Listeriaceae	33
Chromobacteriaceae	33
Nitrobacteraceae	31
Sphaerotilaceae	28
Methylococcaceae	27
Rhizobiaceae	25
Caulobacteraceae	25
Acetobacteraceae	23
Nocardiopsidaceae	21
Geobacteraceae	21
Ectothiorhodospiraceae	19
Idiomarinaceae	19
Hafniaceae	19
Dermabacteraceae	18
Zoogloeaceae	18
Chromatiaceae	17
Rhodanobacteraceae	17
Vibrionaceae	17
Rhodospirillaceae	16
Microbulbiferaceae	16
Kribbellaceae	16
Alteromonadaceae	16
Stappiaceae	15
Hyphomonadaceae	15
Oceanospirillaceae	15
Candidatus Competibacteraceae	15
Hyphomicrobiaceae	14
Shewanellaceae	14
Dermatophilaceae	13
Chitinibacteraceae	13
Thiotrichaceae	13
Sphingomonadaceae	13
Xanthobacteraceae	13
Sulfolobaceae	13
Rhodocyclaceae	12
Sterolibacteriaceae	12
Thermoproteaceae	12
Brevibacteriaceae	12
Thiobacillaceae	11
Geodermatophilaceae	11
Roseomonadaceae	11
Aurantimonadaceae	11
Thalassospiraceae	11
Robiginitomaculaceae	10
Glycomycetaceae	10
Dermacoccaceae	10
Erythrobacteraceae	10
Promicromonosporaceae	10
Alicyclobacillaceae	10
Sanguibacteraceae	9
Acidithiobacillaceae	9
Halieaceae	8
Prolixibacteraceae	8
Boseaceae	8
Planctomycetaceae	8
Sedimenticolaceae	8
Desulfobacteraceae	8
Dietziaceae	8
Ornithinimicrobiaceae	8
Methylobacteriaceae	7
Allobogoriellaceae	7
Parvularculaceae	7
Jiangellaceae	7
Cellvibrionaceae	7
Candidatus Pseudothioglobaceae	7
Porticoccaceae	7
Pseudoalteromonadaceae	6
Rhodovibrionaceae	6
Sutterellaceae	6
Rubrobacteraceae	6
Devosiaceae	6
Desulfitobacteriaceae	6
Geminicoccaceae	6
Anaeromyxobacteraceae	6
Sphaerobacteraceae	5
Piscirickettsiaceae	5
Acidocellaceae	5
Methylophilaceae	5
Sphingobiaceae	5
Sphingorhabdaceae	5
Bryobacteraceae	5
Beijerinckiaceae	5
Desulfovibrionaceae	4
Hoyosellaceae	4
Parvibaculaceae	4
Acidiferrobacteraceae	4
Clostridiales Family XVII. Incertae Sedis	4
Aeromonadaceae	4
Aquaspirillaceae	4
Tepidamorphaceae	4
Candidatus Pelagibacteraceae	4
Chitinophagaceae	4
Kaistiaceae	4
Sporomusaceae	4
Thermoactinomycetaceae	4
Kordiimonadaceae	4
Nakamurellaceae	4
Alcanivoracaceae	4
Sphingopyxidaceae	4
Kangiellaceae	3
Budviciaceae	3
Pyrinomonadaceae	3
Geovibrionaceae	3
Desulfosarcinaceae	3
Reyranellaceae	3
Desulfobulbaceae	3
Candidatus Methylomirabilaceae	3
Desulfurococcaceae	3
Saprospiraceae	3
Cyclobacteriaceae	3
Desulfocapsaceae	3
Porphyromonadaceae	3
Salinisphaeraceae	3
Polyangiaceae	3
Crocinitomicaceae	3
Carbonactinosporaceae	3
Desulfurellaceae	3
Salinicoccaceae	3
Catenulisporaceae	3
Jonesiaceae	3
Eggerthellaceae	3
Bartonellaceae	3
Crenotrichaceae	3
Geothermobacteraceae	3
Sneathiellaceae	3
Methylothermaceae	3
Orbaceae	3
Acidimicrobiaceae	3
Hahellaceae	3
Actinospicaceae	3
Ignavibacteriaceae	2
Speluncibacteraceae	2
Sulfurovaceae	2
Bruguierivoracaceae	2
Flavobacteriaceae	2
Pseudobdellovibrionaceae	2
Trueperaceae	2
Colwelliaceae	2
Azonexaceae	2
Holophagaceae	2
Salinarimonadaceae	2
Prevotellaceae	2
Gallionellaceae	2
Dysgonomonadaceae	2
Dongiaceae	2
Sphingobacteriaceae	2
Candidatus Paracaedibacteraceae	2
Thiohalomonadaceae	2
Azospirillaceae	2
Maricaulaceae	2
Hydrogenophilaceae	2
Candidatus Methanoperedentaceae	2
Thiohalorhabdaceae	2
Thermodesulfobiaceae	2
Bacillales Family X. Incertae Sedis	2
Granulosicoccaceae	2
Notoacmeibacteraceae	2
Geopsychrobacteraceae	2
Tannerellaceae	2
Nitrospiraceae	2
Pleomorphomonadaceae	2
Rhodobiaceae	2
Phreatobacteraceae	2
Sulfuricellaceae	2
Anaerolineaceae	2
Oceanibaculaceae	2
Ruaniaceae	2
Streptococcaceae	2
Actinopolymorphaceae	1
Ilumatobacteraceae	1
Hydrogenothermaceae	1
Lentimicrobiaceae	1
Cohaesibacteraceae	1
Enterococcaceae	1
Clostridiaceae	1
Cryptosporangiaceae	1
Acidobacteriaceae	1
Desulfuromonadaceae	1
Odoribacteraceae	1
Thalassobaculaceae	1
Acidothermaceae	1
Desulfotomaculaceae	1
Candidatus Sumerlaeaceae	1
Aerosakkonemataceae	1
Desulfococcaceae	1
Desulfomonilaceae	1
Patulibacteraceae	1
Chrysiogenaceae	1
Archaeoglobaceae	1
Deferribacteraceae	1
Conexibacteraceae	1
Beutenbergiaceae	1
Natronospiraceae	1
Melioribacteraceae	1
Temperatibacteraceae	1
Methylohalomonadaceae	1
Sphingosinicellaceae	1
Trichomeriaceae	1
Williamwhitmaniaceae	1
Futianiaceae	1
Capillimicrobiaceae	1
Chelatococcaceae	1
Saccharospirillaceae	1
Kineosporiaceae	1
Peptococcaceae	1
Steroidobacteraceae	1
Ignatzschineriaceae	1
Flexistipitaceae	1
Lacipirellulaceae	1
Baekduiaceae	1
Iodidimonadaceae	1
Sphingomicrobiaceae	1
Pleioneaceae	1
Elioraeaceae	1
Jatrophihabitantaceae	1
Methylocystaceae	1
Marinilabiliaceae	1
Natronospirillaceae	1
Nevskiaceae	1
Parasphingopyxidaceae	1
Magnetovibrionaceae	1
Pasteurellaceae	1
Marinifilaceae	1
Alsobacteraceae	1
Antricoccaceae	1
Oleiphilaceae	1
Vicinamibacteraceae	1
Candidatus Obscuribacteraceae	1
Sporolactobacillaceae	1
Zooshikellaceae	1
Saeziaceae	1
Calditrichaceae	1
Leeiaceae	1
Wenzhouxiangellaceae	1
Emcibacteraceae	1
Fluviibacteraceae	1
Aestuariispiraceae	1
Methylopilaceae	1
Desulfosalsimonadaceae	1
Weeksellaceae	1
Gaiellaceae	1
Candidatus Thalassarchaeaceae	1
Candidatus Azoamicaceae	1
Bacteroidaceae	1
