genus	count
Salmonella	1529
Streptomyces	462
Escherichia	336
Bacillus	301
Pseudomonas	257
Mycobacterium	202
Klebsiella	184
Enterobacter	160
Citrobacter	138
Staphylococcus	125
Burkholderia	112
Paenibacillus	100
Nocardia	98
Mycolicibacterium	89
Corynebacterium	75
Marinobacter	70
Halomonas	64
Shigella	57
Serratia	54
Rothia	53
Nonomuraea	52
Rhodococcus	51
Limosilactobacillus	50
Actinomyces	50
Paraburkholderia	48
Arthrobacter	48
Achromobacter	46
Nocardioides	45
Cryobacterium	44
Actinomadura	44
Cupriavidus	44
Cellulomonas	41
Stenotrophomonas	41
Brucella	40
Gordonia	38
Acidovorax	38
Veillonella	36
Selenomonas	33
Geobacillus	32
Listeria	32
Mesorhizobium	31
Paracoccus	31
Pantoea	30
Janthinobacterium	29
Providencia	29
Micromonospora	28
Stutzerimonas	28
Raoultella	28
Thermus	26
Pectobacterium	26
Amycolatopsis	24
Ralstonia	24
Caballeronia	23
Neisseria	23
Actinoplanes	22
Microbacterium	22
Sporosarcina	22
Psychrobacter	20
Kocuria	18
Vreelandella	18
Mycolicibacter	18
Brachybacterium	17
Hydrogenophaga	17
Vibrio	16
Moraxella	16
Chromobacterium	16
Kribbella	16
Microbulbifer	16
Kluyvera	16
Tessaracoccus	15
Leclercia	15
Virgibacillus	15
Saccharothrix	15
Nocardiopsis	15
Rhodoferax	15
Pseudonocardia	14
Proteus	14
Variovorax	14
Shewanella	14
Dickeya	14
Saccharopolyspora	14
Nitrobacter	14
Lentibacillus	13
Massilia	13
Lactiplantibacillus	13
Duganella	13
Aeromicrobium	12
Undibacterium	12
Geobacter	12
Cronobacter	12
Polaromonas	12
Streptosporangium	12
Parageobacillus	12
Roseateles	12
Bordetella	12
Kosakonia	11
Agromyces	11
Rhodanobacter	11
Phenylobacterium	11
Thalassospira	11
Buttiauxella	11
Brevibacterium	11
Salinicoccus	11
Schaalia	10
Delftia	10
Morganella	10
Propionibacterium	10
Thiobacillus	10
Thiothrix	10
Neobacillus	10
Pandoraea	10
Phycicoccus	9
Heyndrickxia	9
Pyrobaculum	9
Cedecea	9
Rhizobium	9
Eikenella	9
Sphingomonas	9
Erwinia	9
Thermomonas	9
Rheinheimera	9
Sanguibacter	9
Yersinia	9
Pseudarthrobacter	9
Edwardsiella	9
Thiomonas	9
Thauera	9
Snodgrassella	9
Acidithiobacillus	9
Candidatus Accumulibacter	8
Mixta	8
Loigolactobacillus	8
Robiginitomaculum	8
Idiomarina	8
Oerskovia	8
Hafnia	8
Dietzia	8
Lelliottia	8
Macrococcoides	8
Billgrantia	8
Prescottella	8
Hyphomonas	8
Brevundimonas	8
Oceanobacillus	8
Anoxybacillus	8
Diaphorobacter	8
Rahnella	8
Bosea	8
Trinickia	8
Martelella	8
Pseudoduganella	7
Propioniciclava	7
Gracilibacillus	7
Roseovarius	7
Pseudovibrio	7
Glycomyces	7
Paractinoplanes	7
Salinispora	7
Aquitalea	7
Acetobacter	7
