order	count
Enterobacterales	2841
Bacillales	840
Burkholderiales	751
Mycobacteriales	605
Kitasatosporales	480
Micrococcales	431
Pseudomonadales	380
Hyphomicrobiales	282
Rhodobacterales	177
Streptosporangiales	162
Oceanospirillales	139
Propionibacteriales	139
Pseudonocardiales	107
Neisseriales	107
Lysobacterales	94
Lactobacillales	92
Actinomycetales	88
Micromonosporales	83
Alteromonadales	57
Moraxellales	52
Chromatiales	51
Sphingomonadales	48
Rhodospirillales	47
Selenomonadales	43
Cellvibrionales	40
Acetobacterales	40
Nitrosomonadales	37
Thermales	36
Veillonellales	36
Methylococcales	36
Rhodocyclales	33
Flavobacteriales	33
Bacteroidales	25
Caulobacterales	25
Thiotrichales	22
Geobacterales	21
Vibrionales	17
Hyphomonadales	15
Eubacteriales	14
Sulfolobales	13
Desulfobacterales	13
Hydrogenophilales	13
Maricaulales	12
Solirubrobacterales	12
Thermoproteales	12
Geodermatophilales	12
Glycomycetales	10
Marinilabiliales	10
Anaerolineales	10
Planctomycetales	9
Bdellovibrionales	9
Ignavibacteriales	9
Acidithiobacillales	9
Jiangellales	7
Allobogoriellales	7
Desulfuromonadales	7
Myxococcales	7
Parvularculales	7
Geminicoccales	6
Catenulisporales	6
Desulfobulbales	6
Rubrobacterales	6
Candidatus Pelagibacterales	6
Deferribacterales	5
Bryobacterales	5
Sphaerobacterales	5
Acidimicrobiales	5
Sphingobacteriales	5
Chitinophagales	5
Kordiimonadales	5
Aeromonadales	4
Acidiferrobacterales	4
Nakamurellales	4
Desulfovibrionales	4
Polyangiales	3
Salinisphaerales	3
Blastocatellales	3
Holophagales	3
Limisphaerales	3
Dehalococcoidales	3
Eggerthellales	3
Candidatus Methylomirabilales	3
Saprospirales	3
Orbales	3
Methanosarcinales	3
Desulfurococcales	3
Sneathiellales	3
Kangiellales	3
Desulfurellales	3
Cytophagales	3
Thermodesulfobiales	2
Candidatus Obscuribacterales	2
Frankiales	2
Thiohalorhabdales	2
Thermoplasmatales	2
Candidatus Poseidoniales	2
Pirellulales	2
Trueperales	2
Thiohalomonadales	2
Holosporales	2
Nitrospirales	2
Campylobacterales	2
Natronospirales	1
Methylohalomonadales	1
Aerosakkonematales	1
Acidothermales	1
Candidatus Sumerlaeales	1
Terriglobales	1
Chaetothyriales	1
Archaeoglobales	1
Chrysiogenales	1
Futianiales	1
Kineosporiales	1
Chthonomonadales	1
Nevskiales	1
Cryptosporangiales	1
Magnetococcales	1
Emcibacterales	1
Cardiobacteriales	1
Aquificales	1
Pasteurellales	1
Steroidobacterales	1
Calditrichales	1
Jatrophihabitantales	1
Gemmatimonadales	1
Iodidimonadales	1
Gaiellales	1
Vicinamibacterales	1
Caldilineales	1
Desulfomonilales	1
