phylum	count
Pseudomonadota	5629
Actinomycetota	2225
Bacillota	1029
Bacteroidota	114
Chloroflexota	61
Thermodesulfobacteriota	52
Acidobacteriota	42
Planctomycetota	40
Deinococcota	38
Ignavibacteriota	28
Thermoproteota	28
Myxococcota	27
Bdellovibrionota	9
Calditrichota	9
Methanobacteriota	8
Campylobacterota	7
Nitrospirota	6
Verrucomicrobiota	6
Deferribacterota	5
Thermomicrobiota	5
Gemmatimonadota	5
Fidelibacterota	5
Thermoplasmatota	4
Candidatus Omnitrophota	4
Cyanobacteriota	3
Chlorobiota	3
Candidatus Methylomirabilota	3
Armatimonadota	3
Elusimicrobiota	3
Candidatus Melainabacteria	3
Candidatus Bipolaricaulota	2
Candidatus Hydrogenedentota	2
Candidatus Heimdallarchaeota	2
Aquificota	2
Candidatus Moraniibacteriota	2
Thermodesulfobiota	2
Candidatus Zixiibacteriota	2
Vulcanimicrobiota	1
Chrysiogenota	1
Ascomycota	1
Candidatus Dormiibacterota	1
Candidatus Sumerlaeota	1
Candidatus Azamiibacteriota	1
Candidatus Latescibacterota	1
Candidatus Saccharimonadota	1
Chlamydiota	1
Candidatus Glassiibacteriota	1
Candidatus Fraseribacteriota	1
Nitrospinota	1
Candidatus Hinthialibacterota	1
