phylum	count
Pseudomonadota	5600
Actinomycetota	2221
Bacillota	1028
Bacteroidota	112
Chloroflexota	57
Thermodesulfobacteriota	52
Acidobacteriota	42
Planctomycetota	40
Deinococcota	38
Thermoproteota	28
Ignavibacteriota	28
Myxococcota	27
Calditrichota	9
Bdellovibrionota	9
Methanobacteriota	8
Campylobacterota	7
Verrucomicrobiota	6
Gemmatimonadota	5
Deferribacterota	5
Nitrospirota	5
Candidatus Omnitrophota	4
Fidelibacterota	4
Thermoplasmatota	4
Thermomicrobiota	4
Elusimicrobiota	3
Chlorobiota	3
Armatimonadota	3
Cyanobacteriota	3
Candidatus Melainabacteria	3
Candidatus Methylomirabilota	3
Aquificota	2
Candidatus Zixiibacteriota	2
Candidatus Moraniibacteriota	2
Thermodesulfobiota	2
Candidatus Hydrogenedentota	2
Candidatus Heimdallarchaeota	2
Candidatus Bipolaricaulota	2
Candidatus Azamiibacteriota	1
Nitrospinota	1
Candidatus Fraseribacteriota	1
Candidatus Glassiibacteriota	1
Chlamydiota	1
Candidatus Hinthialibacterota	1
Candidatus Latescibacterota	1
Vulcanimicrobiota	1
Candidatus Sumerlaeota	1
Candidatus Saccharimonadota	1
Candidatus Dormiibacterota	1
Ascomycota	1
Chrysiogenota	1
